chapter,verse,sanskrit,english,transliteration,verse_id
1,13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् |,"Then conches kettledrums tabors, drums and trumpets suddenly blared forth and the noise was tumultuous.",tataḥ śaṅkhāśca bheryaśca paṇavānakagomukhāḥ .sahasaivābhyahanyanta sa śabdastumulo.abhavat,BG_1_13
1,14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः |,"Then seated in a glorious chariot drawn by white horses, Shree Krishna as well as Arjuna blew their celestial conches.",tataḥ śvetairhayairyukte mahati syandane sthitau .mādhavaḥ pāṇḍavaścaiva divyau śaṅkhau pradadhmatuḥ,BG_1_14
1,16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |नकुलः सहदेवश्च सुघोषमणिपुष्पकौ |,"King Yudhisthira, son of Kunti, blew his conch Anantavijaya; while Nakula and Sahadeva blew theirs, known as Sughosa and Manipuspaka respectively.",anantavijayaṃ rājā kuntīputro yudhiṣṭhiraḥ .nakulaḥ sahadevaśca sughoṣamaṇipuṣpakau,BG_1_16
1,17,काश्यश्च परमेष्वासः शिखण्डी च महारथः |धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः |,"And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",kāśyaśca parameṣvāsaḥ śikhaṇḍī ca mahārathaḥ .dhṛṣṭadyumno virāṭaśca sātyakiścāparājitaḥ,BG_1_17
1,18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् |,"and the sons of Drupada and Draupadi, and the mighty-armed Subhadra's son Abhimanyu—all of them, O King, blew their respective conches separately.",drupado draupadeyāśca sarvaśaḥ pṛthivīpate .saubhadraśca mahābāhuḥ śaṅkhāndadhmuḥ pṛthakpṛthak,BG_1_18
1,20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |हृषीकेशं तदा वाक्यमिदमाह महीपते |,"Then, seeing the arranged armies of the sons of Dhritarashtra, the one with the banner of Hanumantook up his bow, ready for battle. Now, O lord of the earth, seeing your sons arrayed against him, and when missiles were ready to be hurled, Arjuna, son of Pandu, took up his bow and then addressed the following words to Shree Krishna; Krishna, place my chariot between the two armies.",atha vyavasthitāndṛṣṭvā dhārtarāṣṭrān kapidhvajaḥ .pravṛtte śastrasampāte dhanurudyamya pāṇḍavaḥ,BG_1_20
1,22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे |,"And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.",yāvadetānnirikṣe.ahaṃ yoddhukāmānavasthitān .kairmayā saha yoddhavyamasmin raṇasamudyame,BG_1_22
1,24,सञ्जय उवाच |एवमुक्तो हृषीकेशो गुडाकेशेन भारत |सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् |,"Thus addressed, Hrishikesha, the son of Gudakesha, stationed the best chariot in the midst of the armies, sounding the war-cry.",sañjaya uvāca .evamukto hṛṣīkeśo guḍākeśena bhārata .senayorubhayormadhye sthāpayitvā rathottamam,BG_1_24
1,25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति |,"At the head of all the kings, led by Bhishma and Drona, Arjuna, O son of Kunti, behold these Kurus gathered together",bhīṣmadroṇapramukhataḥ sarveṣāṃ ca mahīkṣitām .uvāca pārtha paśyaitānsamavetānkurūniti,BG_1_25
1,26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा |,"Now Arjuna saw stationed there in both the armies his uncles, grand-uncles and teachers, even great grand-uncles, maternal uncles, brothers and cousins, sons and nephews, and grand-nephews, even so friends, fathers-in-law and well-wishers as well.",tatrāpaśyatsthitānpārthaḥ pitṝnatha pitāmahān .ācāryānmātulānbhrātṛnputrānpautrānsakhīṃstathā,BG_1_26
1,27,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् |,"Seeing all those relations present there, Arjuna was filled with deep compassion, and uttered these words in sadness..",śvaśurānsuhṛdaścaiva senayorubhayorapi .tānsamīkṣya sa kaunteyaḥ sarvānbandhūnavasthitān,BG_1_27
1,28,कृपया परयाविष्टो विषीदन्निदमब्रवीत् |अर्जुन उवाच |दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् |,"Arjuna said—O Krishna! Seeing my own kinsmen eager to fight, my limbs are weakening, my mouth is drying up, and my body is trembling with shivers and goosebumps.",kṛpayā parayāviṣṭo viṣīdannidamabravīt .arjuna uvāca .dṛṣṭvemaṃ svajanaṃ kṛṣṇa yuyutsuṃ samupasthitam,BG_1_28
1,29,सीदन्ति मम गात्राणि मुखं च परिशुष्यति |वेपथुश्च शरीरे मे रोमहर्षश्च जायते |,"My mouth is drying up, my body shivers, and my hair stands on end.",sīdanti mama gātrāṇi mukhaṃ ca pariśuṣyati .vepathuśca śarīre me romaharṣaśca jāyate,BG_1_29
1,30,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः |,"The bow, Gandiva, slips from my hand and my skin too burns all over; my brain is whirling, as it were, and I can stand no longer.",gāṇḍīvaṃ sraṃsate hastāttvakcaiva paridahyate .na ca śaknomyavasthātuṃ bhramatīva ca me manaḥ,BG_1_30
1,31,निमित्तानि च पश्यामि विपरीतानि केशव |न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे |,"And, Keshava, I see such omens of evil, nor do I see any good in killing my kinsmen in battle",nimittāni ca paśyāmi viparītāni keśava .na ca śreyo.anupaśyāmi hatvā svajanamāhave,BG_1_31
1,32,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा |,"Krishna, I do not covet victory, nor kingdom nor pleasures. Govinda, of what use will kingdom, or luxuries, or even life be to us!",na kāṅkṣe vijayaṃ kṛṣṇa na ca rājyaṃ sukhāni ca .kiṃ no rājyena govinda kiṃ bhogairjīvitena vā,BG_1_32
1,33,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च |,"Those very persons for whose sake we covet the throne, luxuries and pleasures—are here arrayed on the battlefield, having renounced wealth and even life itself.",yeṣāmarthe kāṅkṣitaṃ no rājyaṃ bhogāḥ sukhāni ca .ta ime.avasthitā yuddhe prāṇāṃstyaktvā dhanāni ca,BG_1_33
1,34,आचार्याः पितरः पुत्रास्तथैव च पितामहाः |मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा |,"Teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are also present here in battle.",ācāryāḥ pitaraḥ putrāstathaiva ca pitāmahāḥ .mātulāḥ śvaśurāḥ pautrāḥ śyālāḥ sambandhinastathā,BG_1_34
1,35,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते |,"O Slayer of Madhu, I do not want to kill them, though they should slay me, even for the throne of the three worlds; how much the less from earthly lordship!",etānna hantumicchāmi ghnato.api madhusūdana .api trailokyarājyasya hetoḥ kiṃ nu mahīkṛte,BG_1_35
1,36,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः |,"Krishna, how can we hope to be happy slaying the sons of Dhrtarastra; killing these desperadoes sin will surely take hold of us.",nihatya dhārtarāṣṭrānnaḥ kā prītiḥ syājjanārdana .pāpamevāśrayedasmānhatvaitānātatāyinaḥ,BG_1_36
1,37,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |स्वजनं हि कथं हत्वा सुखिनः स्याम माधव |,"Therefore, Krishna, it does not behove us to kill our relations, the sons of Dhritarashtra. For how can we be happy after killing our own kinsmen?",tasmānnārhā vayaṃ hantuṃ dhārtarāṣṭrānsvabāndhavān .svajanaṃ hi kathaṃ hatvā sukhinaḥ syāma mādhava,BG_1_37
1,38,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् |,"Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",yadyapyete na paśyanti lobhopahatacetasaḥ .kulakṣayakṛtaṃ doṣaṃ mitradrohe ca pātakam,BG_1_38
1,41,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः |,"With the preponderance of vice, Krishna, the women of the family become corrupt; and with the corruption of women, O descendant of Vrsni, there ensues an intermixture of castes.",adharmābhibhavātkṛṣṇa praduṣyanti kulastriyaḥ .strīṣu duṣṭāsu vārṣṇeya jāyate varṇasaṅkaraḥ,BG_1_41
1,42,सङ्करो नरकायैव कुलघ्नानां कुलस्य च |पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः |,Admixture of blood damns the destroyers of the race as well as the race itself. Deprived of the offerings of rice and waterthe manes of their race also fall.,saṅkaro narakāyaiva kulaghnānāṃ kulasya ca .patanti pitaro hyeṣāṃ luptapiṇḍodakakriyāḥ,BG_1_42
1,44,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) |,"Krishna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time.",utsannakuladharmāṇāṃ manuṣyāṇāṃ janārdana .narake niyataṃ vāso bhavatītyanuśuśruma,BG_1_44
1,45,अहो बत महत्पापं कर्तुं व्यवसिता वयम् |यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः |,Oh what a pity! Though possessed of intelligence we have set our mind on the commission of a great sin in that due to lust,aho bata mahatpāpaṃ kartuṃ vyavasitā vayam .yadrājyasukhalobhena hantuṃ svajanamudyatāḥ,BG_1_45
1,46,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् |,"It would be better for me if the sons of Dhritarashtra, armed with weapons, killed me in battle while I was unarmed and unresisting.",yadi māmapratīkāramaśastraṃ śastrapāṇayaḥ .dhārtarāṣṭrā raṇe hanyustanme kṣemataraṃ bhavet,BG_1_46
1,47,सञ्जय उवाच |एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत् |विसृज्य सशरं चापं शोकसंविग्नमानसः |,"Thus addressed, Sanjaya, standing in the midst of the armies, sat down on the chariot’s seat, his mind overwhelmed with grief, and having set aside his bow and arrows.",sañjaya uvāca .evamuktvārjunaḥ saṅkhye rathopastha upāviśat .visṛjya saśaraṃ cāpaṃ śokasaṃvignamānasaḥ,BG_1_47
2,1,सञ्जय उवाच |तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् |विषीदन्तमिदं वाक्यमुवाच मधुसूदनः |,"Sanjaya said: Shree Krishna then addressed the following words to Arjuna, who was as mentioned before overwhelmed with pity, whose eyes were filled with tears and agitated, and who was full of sorrow.",sañjaya uvāca .taṃ tathā kṛpayāviṣṭamaśrupūrṇākulekṣaṇam .viṣīdantamidaṃ vākyamuvāca madhusūdanaḥ,BG_2_1
2,3,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते |क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप |,"Yield not to unmanliness, Arjuna; ill does it become you. Shaking off this paltry faint-heartedness stand up, O scorcher of enemies.",klaibyaṃ mā sma gamaḥ pārtha naitattvayyupapadyate .kṣudraṃ hṛdayadaurbalyaṃ tyaktvottiṣṭha parantapa,BG_2_3
2,5,गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके |हत्वार्थकामांस्तु गुरूनिहैवभुञ्जीय भोगान् रुधिरप्रदिग्धान् |,"Therefore, I consider it better not to kill these venerable teachers in this world, even if it means living on alms. For if I kill the teachers, I shall enjoy only the blood-stained wealth and pleasures of this world.",gurūnahatvā hi mahānubhāvān śreyo bhoktuṃ bhaikṣyamapīha loke .hatvārthakāmāṃstu gurūnihaiva bhuñjīya bhogān rudhirapradigdhān,BG_2_5
2,6,न चैतद्विद्मः कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयुः |यानेव हत्वा न जिजीविषामस्-तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः |,"Wo do not even know which is preferable for us—to fight or not to fight; nor do we know whether we shall win or whether they will conquer us. Those very sons of Dhrtarastra, killing whom we do not even wish to live, stand in the enemy ranks.",na caitadvidmaḥ kataranno garīyo yadvā jayema yadi vā no jayeyuḥ .yāneva hatvā na jijīviṣāmaḥ te.avasthitāḥ pramukhe dhārtarāṣṭrāḥ,BG_2_6
2,7,कार्पण्यदोषोपहतस्वभावःपृच्छामि त्वां धर्मसम्मूढचेताः |यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् |,"With my very being tainted by the vice of faint-heartedness and my mind puzzled with regard to duty, I am asking you. Tell me that which is decidedly good; I am Your disciple. Pray instruct me, who have put myself into Your hands.",kārpaṇyadoṣopahatasvabhāvaḥ pṛcchāmi tvāṃ dharmasammūḍhacetāḥ .yacchreyaḥ syānniścitaṃ brūhi tanme śiṣyaste.ahaṃ śādhi māṃ tvāṃ prapannam,BG_2_7
2,10,तमुवाच हृषीकेशः प्रहसन्निव भारत |सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः |,"Then, O Dhritarashtra, Shree Krishna, as if smiling, addressed the following words to sorrowing Arjuna, in the midst of the two armies.",tamuvāca hṛṣīkeśaḥ prahasanniva bhārata .senayorubhayormadhye viṣīdantamidaṃ vacaḥ,BG_2_10
2,11,श्रीभगवानुवाच |अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे |गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः |,"Shree Bhagavan said: Arjuna, you grieve over those who should not be grieved for, and yet speak like the learned; wise men do not sorrow over the dead or the living.",śrībhagavānuvāca .aśocyānanvaśocastvaṃ prajñāvādāṃśca bhāṣase .gatāsūnagatāsūṃśca nānuśocanti paṇḍitāḥ,BG_2_11
2,12,न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः |न चैव न भविष्यामः सर्वे वयमतः परम् |,"In fact, there was never a time when I was not, or when you or these kings were not. Nor is it a fact that hereafter we shall all cease to be.",na tvevāhaṃ jātu nāsaṃ na tvaṃ neme janādhipāḥ .na caiva na bhaviṣyāmaḥ sarve vayamataḥ param,BG_2_12
2,13,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा |तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति |,"Just as boyhood, youth and old age are attributed to the soul through this body, even so it attains another body. The wise man does not get deluded about this.",dehino.asminyathā dehe kaumāraṃ yauvanaṃ jarā .tathā dehāntaraprāptirdhīrastatra na muhyati,BG_2_13
2,15,यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ |समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते |,"Arjuna, the wise man to whom pain and pleasure are the same, who is not disturbed by the contacts of the senses and their objects, is fit for immortality.",yaṃ hi na vyathayantyete puruṣaṃ puruṣarṣabha .samaduḥkhasukhaṃ dhīraṃ so.amṛtatvāya kalpate,BG_2_15
2,16,नासतो विद्यते भावो नाभावो विद्यते सतः |उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः |,"The unreal has no existence, and the real never ceases to be, the reality of both has thus been perceived by the seers of truth.",nāsato vidyate bhāvo nābhāvo vidyate sataḥ .ubhayorapi dṛṣṭo.antastvanayostattvadarśibhiḥ,BG_2_16
2,18,अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः |अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत |,"Know that alone to be imperishable, which pervades this universe; for no one has power to destroy this indestructible substance.",antavanta ime dehā nityasyoktāḥ śarīriṇaḥ .anāśino.aprameyasya tasmādyudhyasva bhārata,BG_2_18
2,19,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् |उभौ तौ न विजानीतो नायं हन्ति न हन्यते |,"All these bodies pertaining to the imperishable, indefinable and eternal soul are spoken of as perishable; therefore, Arjuna, fight.",ya enaṃ vetti hantāraṃ yaścainaṃ manyate hatam ubhau tau na vijānīto nāyaṃ hanti na hanyate,BG_2_19
2,20,न जायते म्रियते वा कदाचिन्नायं भूत्वा भविता वा न भूयः |अजो नित्यः शाश्वतोऽयं पुराणोन हन्यते हन्यमाने शरीरे |,"The soul is never born nor dies; nor does it become only after being born. For it is unborn, eternal, everlasting and ancient; even though the body is slain, the soul is not.",na jāyate mriyate vā kadācin nāyaṃ bhūtvā bhavitā vā na bhūyaḥ .ajo nityaḥ śāśvato.ayaṃ purāṇo na hanyate hanyamāne śarīre,BG_2_20
2,21,वेदाविनाशिनं नित्यं य एनमजमव्ययम् |कथं स पुरुषः पार्थ कं घातयति हन्ति कम् |,"Arjuna, the man who knows this soul to be imperishable, eternal and free from birth and decay,—how and whom will he cause to be killed, how and whom will he kill?",vedāvināśinaṃ nityaṃ ya enamajamavyayam .kathaṃ sa puruṣaḥ pārtha kaṃ ghātayati hanti kam,BG_2_21
2,22,वासांसि जीर्णानि यथा विहायनवानि गृह्णाति नरोऽपराणि |तथा शरीराणि विहाय जीर्णा-न्यन्यानि संयाति नवानि देही |,"As a man shedding worn-out garments, takes other new ones, likewise the embodied soul, casting off worn-out bodies, enters into others which are new.",vāsāṃsi jīrṇāni yathā vihāya navāni gṛhṇāti naro.aparāṇi .tathā śarīrāṇi vihāya jīrṇāni anyāni saṃyāti navāni dehī,BG_2_22
2,23,नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः |न चैनं क्लेदयन्त्यापो न शोषयति मारुतः |,"Weapons cannot cut it, nor can fire burn it; water cannot wet it nor can wind dry it.",nainaṃ chindanti śastrāṇi nainaṃ dahati pāvakaḥ .na cainaṃ kledayantyāpo na śoṣayati mārutaḥ,BG_2_23
2,24,अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च |नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः |,"For this soul is incapable of being cut; it is proof against fire, impervious to water and undriable as well. This soul is eternal, omnipresent, immovable, constant and everlasting.",acchedyo.ayamadāhyo.ayamakledyo.aśoṣya eva ca .nityaḥ sarvagataḥ sthāṇuracalo.ayaṃ sanātanaḥ,BG_2_24
2,25,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते |तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि |,"This soul is unmanifest; it is unthinkable; and it is spoken of as immutable. Therefore, knowing this as such, you should not grieve.",avyakto.ayamacintyo.ayamavikāryo.ayamucyate .tasmādevaṃ viditvainaṃ nānuśocitumarhasi,BG_2_25
2,26,अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम् |तथापि त्वं महाबाहो नैवं शोचितुमर्हसि |,"And, Arjuna, if you should suppose this soul to be subject to constant birth and death, even than you should not grieve like this.Hardly anyone perceives this soul as marvellous, scarce another likewise speaks thereof as marvellous, and scarce another hears of it as marvellous; while there are some who know it not even on hearing of it.",atha cainaṃ nityajātaṃ nityaṃ vā manyase mṛtam .tathāpi tvaṃ mahābāho naivaṃ śocitumarhasi,BG_2_26
2,27,जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च |तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि |,"For in that case death is certain for the born, and rebirth is inevitable for the dead. You should not, therefore, grieve over the inevitable.",jātasya hi dhruvo mṛtyurdhruvaṃ janma mṛtasya ca .tasmādaparihārye.arthe na tvaṃ śocitumarhasi,BG_2_27
2,28,अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत |अव्यक्तनिधनान्येव तत्र का परिदेवना |,"Arjuna, before birth beings are not manifest to our human senses; at death they return to the unmanifest. What is there to grieve about in such a state?",avyaktādīni bhūtāni vyaktamadhyāni bhārata .avyaktanidhanānyeva tatra kā paridevanā,BG_2_28
2,29,आश्चर्यवत्पश्यति कश्चिदेन-माश्चर्यवद्वदति तथैव चान्यः |आश्चर्यवच्चैनमन्यः शृणोतिश्रुत्वाप्येनं वेद न चैव कश्चित् |,"Hardly anyone perceives this soul as marvellous, scarce another likewise speaks thereof as marvellous, and scarce another hears of it as marvellous; while there are some who know it not even on hearing of it.",āścaryavatpaśyati kaścidenam āścaryavadvadati tathaiva cānyaḥ .āścaryavaccainamanyaḥ śṛṇoti śrutvāpyenaṃ veda na caiva kaścit,BG_2_29
2,30,देही नित्यमवध्योऽयं देहे सर्वस्य भारत |तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि |,"Arjuna, this soul dwelling in the bodies of all can never be slain; therefore, you should not mourn for anyone.",dehī nityamavadhyo.ayaṃ dehe sarvasya bhārata .tasmātsarvāṇi bhūtāni na tvaṃ śocitumarhasi,BG_2_30
2,31,स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि |धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते |,Besides: considering your own duty too you should not waver; for there is nothing superior for a warrior than a righteous war.,svadharmamapi cāvekṣya na vikampitumarhasi .dharmyāddhi yuddhācchreyo.anyatkṣatriyasya na vidyate,BG_2_31
2,32,यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् |सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् |,"Arjuna, happy are the Ksatriyas who get such an unsolicited opportunity for war; which opens the door to heaven.",yadṛcchayā copapannaṃ svargadvāramapāvṛtam .sukhinaḥ kṣatriyāḥ pārtha labhante yuddhamīdṛśam,BG_2_32
2,33,अथ चेत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि |ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि |,"Now, if you refuse to fight this righteous war, then, shirking your duty and losing your reputation, you will incur sin.",atha cettvamimaṃ dharmyaṃ saṃgrāmaṃ na kariṣyasi .tataḥ svadharmaṃ kīrtiṃ ca hitvā pāpamavāpsyasi,BG_2_33
2,34,अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् |सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते |,"Nay, people will also pour undying infamy on you; and infamy brought on a man enjoying popular esteem is worse than death.",akīrtiṃ cāpi bhūtāni kathayiṣyanti te.avyayām .sambhāvitasya cākīrtirmaraṇādatiricyate,BG_2_34
2,37,हतो वा प्राप्स्यसि स्वर्गं जित्वा वा भोक्ष्यसे महीम् |तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः |,"Die, and you will win heaven; conquer, and you enjoy sovereignty of the earth; therefore, stand up, Arjuna, determined to fight.",hato vā prāpsyasi svargaṃ jitvā vā bhokṣyase mahīm .tasmāduttiṣṭha kaunteya yuddhāya kṛtaniścayaḥ,BG_2_37
