query_id,query,positive,negative,positive_id,negative_id,query_language
BG_2_6_sa_en,न चैतद्विद्मः कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयुः |यानेव हत्वा न जिजीविषामस्-तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः |,"Wo do not even know which is preferable for us—to fight or not to fight; nor do we know whether we shall win or whether they will conquer us. Those very sons of Dhrtarastra, killing whom we do not even wish to live, stand in the enemy ranks.",In this world that great soul has no use whatsoever for things done nor for things not done; nor has he selfish dependence of any kind on any creature.,BG_2_6,BG_3_18,sanskrit
BG_2_7_sa_en,कार्पण्यदोषोपहतस्वभावःपृच्छामि त्वां धर्मसम्मूढचेताः |यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् |,"With my very being tainted by the vice of faint-heartedness and my mind puzzled with regard to duty, I am asking you. Tell me that which is decidedly good; I am Your disciple. Pray instruct me, who have put myself into Your hands.","Arjuna, whenever righteousness is on the decline, and unrighteousness is in the ascendant, then I body Myself forth.",BG_2_7,BG_4_7,sanskrit
BG_2_10_sa_en,तमुवाच हृषीकेशः प्रहसन्निव भारत |सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः |,"Then, O Dhritarashtra, Shree Krishna, as if smiling, addressed the following words to sorrowing Arjuna, in the midst of the two armies.","Arjuna, during the Final Dissolution all beings enter My Prakrti, and at the beginning of creation, I send them forth again.",BG_2_10,BG_9_7,sanskrit
BG_2_11_sa_en,श्रीभगवानुवाच |अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे |गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः |,"Shree Bhagavan said: Arjuna, you grieve over those who should not be grieved for, and yet speak like the learned; wise men do not sorrow over the dead or the living.","He who is unattached to everything, and meeting with good and evil, neither rejoices nor recoils, his mind is stable.",BG_2_11,BG_2_57,sanskrit
BG_2_12_sa_en,न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः |न चैव न भविष्यामः सर्वे वयमतः परम् |,"In fact, there was never a time when I was not, or when you or these kings were not. Nor is it a fact that hereafter we shall all cease to be.",Besides: considering your own duty too you should not waver; for there is nothing superior for a warrior than a righteous war.,BG_2_12,BG_2_31,sanskrit
BG_2_13_sa_en,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा |तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति |,"Just as boyhood, youth and old age are attributed to the soul through this body, even so it attains another body. The wise man does not get deluded about this.","Having subdued his mind and body, and given up all objects of enjoyment, and free from craving; he who performs sheer bodily actions, does not incur sin.",BG_2_13,BG_4_21,sanskrit
BG_2_15_sa_en,यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ |समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते |,"Arjuna, the wise man to whom pain and pleasure are the same, who is not disturbed by the contacts of the senses and their objects, is fit for immortality.","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",BG_2_15,BG_1_38,sanskrit
BG_2_16_sa_en,नासतो विद्यते भावो नाभावो विद्यते सतः |उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः |,"The unreal has no existence, and the real never ceases to be, the reality of both has thus been perceived by the seers of truth.","He who sees Mepresent in all beings, and all beings existing within Me, never loses sight of Me, and I never lose sight of him.",BG_2_16,BG_6_30,sanskrit
BG_2_18_sa_en,अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः |अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत |,"Know that alone to be imperishable, which pervades this universe; for no one has power to destroy this indestructible substance.","Arjuna, whenever righteousness is on the decline, and unrighteousness is in the ascendant, then I body Myself forth.",BG_2_18,BG_4_7,sanskrit
BG_2_19_sa_en,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् |उभौ तौ न विजानीतो नायं हन्ति न हन्यते |,"All these bodies pertaining to the imperishable, indefinable and eternal soul are spoken of as perishable; therefore, Arjuna, fight.","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",BG_2_19,BG_1_38,sanskrit
BG_2_20_sa_en,न जायते म्रियते वा कदाचिन्नायं भूत्वा भविता वा न भूयः |अजो नित्यः शाश्वतोऽयं पुराणोन हन्यते हन्यमाने शरीरे |,"The soul is never born nor dies; nor does it become only after being born. For it is unborn, eternal, everlasting and ancient; even though the body is slain, the soul is not.","Arjuna, this soul dwelling in the bodies of all can never be slain; therefore, you should not mourn for anyone.",BG_2_20,BG_2_30,sanskrit
BG_2_21_sa_en,वेदाविनाशिनं नित्यं य एनमजमव्ययम् |कथं स पुरुषः पार्थ कं घातयति हन्ति कम् |,"Arjuna, the man who knows this soul to be imperishable, eternal and free from birth and decay,—how and whom will he cause to be killed, how and whom will he kill?","He who sees inaction in action, and action in inaction, is wise among men; he is a yogi, who has performed all action.",BG_2_21,BG_4_18,sanskrit
BG_2_22_sa_en,वासांसि जीर्णानि यथा विहायनवानि गृह्णाति नरोऽपराणि |तथा शरीराणि विहाय जीर्णा-न्यन्यानि संयाति नवानि देही |,"As a man shedding worn-out garments, takes other new ones, likewise the embodied soul, casting off worn-out bodies, enters into others which are new.","Having attained the worlds of the righteous, the virtuous dwell there for a long time, and then the fallen yogi is born again in the house of the pure and prosperous.",BG_2_22,BG_6_41,sanskrit
BG_2_23_sa_en,नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः |न चैनं क्लेदयन्त्यापो न शोषयति मारुतः |,"Weapons cannot cut it, nor can fire burn it; water cannot wet it nor can wind dry it.","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",BG_2_23,BG_1_38,sanskrit
BG_2_24_sa_en,अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च |नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः |,"For this soul is incapable of being cut; it is proof against fire, impervious to water and undriable as well. This soul is eternal, omnipresent, immovable, constant and everlasting.","Having restrained all the senses, even-minded everywhere, intent on the welfare of all beings verily they also come unto Me",BG_2_24,BG_12_4,sanskrit
BG_2_25_sa_en,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते |तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि |,"This soul is unmanifest; it is unthinkable; and it is spoken of as immutable. Therefore, knowing this as such, you should not grieve.","He, however, who takes delight in the self alone and is gratified with the Self, and is contented in the self, has no duty.",BG_2_25,BG_3_17,sanskrit
BG_2_26_sa_en,अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम् |तथापि त्वं महाबाहो नैवं शोचितुमर्हसि |,"And, Arjuna, if you should suppose this soul to be subject to constant birth and death, even than you should not grieve like this.Hardly anyone perceives this soul as marvellous, scarce another likewise speaks thereof as marvellous, and scarce another hears of it as marvellous; while there are some who know it not even on hearing of it.","Arjuna, this soul dwelling in the bodies of all can never be slain; therefore, you should not mourn for anyone.",BG_2_26,BG_2_30,sanskrit
BG_2_27_sa_en,जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च |तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि |,"For in that case death is certain for the born, and rebirth is inevitable for the dead. You should not, therefore, grieve over the inevitable.","Arjuna, this soul dwelling in the bodies of all can never be slain; therefore, you should not mourn for anyone.",BG_2_27,BG_2_30,sanskrit
BG_2_28_sa_en,अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत |अव्यक्तनिधनान्येव तत्र का परिदेवना |,"Arjuna, before birth beings are not manifest to our human senses; at death they return to the unmanifest. What is there to grieve about in such a state?","Arjuna, whenever righteousness is on the decline, and unrighteousness is in the ascendant, then I body Myself forth.",BG_2_28,BG_4_7,sanskrit
BG_2_29_sa_en,आश्चर्यवत्पश्यति कश्चिदेन-माश्चर्यवद्वदति तथैव चान्यः |आश्चर्यवच्चैनमन्यः शृणोतिश्रुत्वाप्येनं वेद न चैव कश्चित् |,"Hardly anyone perceives this soul as marvellous, scarce another likewise speaks thereof as marvellous, and scarce another hears of it as marvellous; while there are some who know it not even on hearing of it.","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",BG_2_29,BG_1_38,sanskrit
BG_2_30_sa_en,देही नित्यमवध्योऽयं देहे सर्वस्य भारत |तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि |,"Arjuna, this soul dwelling in the bodies of all can never be slain; therefore, you should not mourn for anyone.","He who sees Mepresent in all beings, and all beings existing within Me, never loses sight of Me, and I never lose sight of him.",BG_2_30,BG_6_30,sanskrit
BG_2_31_sa_en,स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि |धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते |,Besides: considering your own duty too you should not waver; for there is nothing superior for a warrior than a righteous war.,"Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",BG_2_31,BG_1_38,sanskrit
BG_2_32_sa_en,यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् |सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् |,"Arjuna, happy are the Ksatriyas who get such an unsolicited opportunity for war; which opens the door to heaven.","Die, and you will win heaven; conquer, and you enjoy sovereignty of the earth; therefore, stand up, Arjuna, determined to fight.",BG_2_32,BG_2_37,sanskrit
BG_2_33_sa_en,अथ चेत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि |ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि |,"Now, if you refuse to fight this righteous war, then, shirking your duty and losing your reputation, you will incur sin.","Since I have no craving for the fruit of actions; actions do not contaminate Me, Even he who thus knows Me in reality is not bound by actions.",BG_2_33,BG_4_14,sanskrit
BG_2_34_sa_en,अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् |सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते |,"Nay, people will also pour undying infamy on you; and infamy brought on a man enjoying popular esteem is worse than death.","Even the wise call him a sage, whose undertaking are all free from desire and thoughts of the world, and whose actions are burnt up by the fire of wisdom.",BG_2_34,BG_4_19,sanskrit
BG_2_37_sa_en,हतो वा प्राप्स्यसि स्वर्गं जित्वा वा भोक्ष्यसे महीम् |तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः |,"Die, and you will win heaven; conquer, and you enjoy sovereignty of the earth; therefore, stand up, Arjuna, determined to fight.","This indeed is My lowernature; the other than this, by which the whole universe is sustained, know it to be My highernature in the form of Jiva, O Arjuna.",BG_2_37,BG_7_5,sanskrit
BG_2_38_sa_en,सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ |ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि |,"Treating alike victory and defeat, gain and loss, pleasure and pain, get ready for the fight, then; fighting thus you will not incur sin.","Arjuna, happy are the Ksatriyas who get such an unsolicited opportunity for war; which opens the door to heaven.",BG_2_38,BG_2_32,sanskrit
